Gene,Name
ENST00000328344,long intergenic non-protein coding RNA 334(LINC00334)
ENST00000328408,#N/A
ENST00000329968,#N/A
ENST00000330381,#N/A
ENST00000330898,#N/A
ENST00000331659,phospholipase D1(PLD1)
ENST00000331828,#N/A
ENST00000332043,#N/A
ENST00000332595,#N/A
ENST00000332881,#N/A
ENST00000333139,NDUFV1 divergent transcript(NDUFV1-DT)
ENST00000334071,#N/A
ENST00000334468,#N/A
ENST00000334591,#N/A
ENST00000334810,adhesion G protein-coupled receptor D2(ADGRD2)
ENST00000338912,immunoglobulin heavy variable 1/OR15-9 (non-functional)(IGHV1OR15-9)
ENST00000338994,#N/A
ENST00000339692,#N/A
ENST00000340225,#N/A
ENST00000340783,family with sequence similarity 205 member C(FAM205C)
ENST00000340798,#N/A
ENST00000341343,#N/A
ENST00000341990,contactin associated protein family member 3B(CNTNAP3B)
ENST00000342039,#N/A
ENST00000342207,#N/A
ENST00000342355,doublecortin domain containing 1(DCDC1)
ENST00000342887,#N/A
ENST00000342990,#N/A
ENST00000344649,#N/A
ENST00000344989,serine and arginine rich splicing factor 10(SRSF10)
ENST00000354756,#N/A
ENST00000354854,#N/A
ENST00000354995,#N/A
ENST00000355500,#N/A
ENST00000355513,#N/A
ENST00000355813,#N/A
ENST00000356023,#N/A
ENST00000356374,#N/A
ENST00000356722,#N/A
ENST00000356801,#N/A
ENST00000357170,#N/A
ENST00000357412,#N/A
ENST00000358739,H2A clustered histone 13(H2AC13)
ENST00000358748,GPR107 adjacent cis regulating lncRNA(GPRACR)
ENST00000359193,H2A clustered histone 11(H2AC11)
ENST00000359667,#N/A
ENST00000359838,lung adenocarcinoma associated transcript 1(LUADT1)
ENST00000360254,#N/A
ENST00000366116,#N/A
ENST00000366485,olfactory receptor family 14 subfamily A member 2(OR14A2)
ENST00000366823,#N/A
ENST00000367119,chromosome 1 open reading frame 147(C1orf147)
ENST00000367915,hydroxysteroid 17-beta dehydrogenase 7(HSD17B7)
ENST00000368256,#N/A
ENST00000369053,#N/A
ENST00000369161,#N/A
ENST00000369173,#N/A
ENST00000369474,#N/A
ENST00000369657,#N/A
ENST00000370129,ATP binding cassette subfamily D member 1(ABCD1)
ENST00000370222,#N/A
ENST00000370520,#N/A
ENST00000370615,#N/A
ENST00000370638,#N/A
ENST00000370725,adhesion G protein-coupled receptor L2(ADGRL2)
ENST00000370964,#N/A
ENST00000371162,#N/A
ENST00000371169,#N/A
ENST00000371468,#N/A
ENST00000372297,allograft inflammatory factor 1 like(AIF1L)
ENST00000372387,#N/A
ENST00000372531,#N/A
ENST00000372887,cAMP-dependent protein kinase inhibitor gamma(PKIG)
ENST00000373348,adipogenin(ADIG)
ENST00000373920,"proteasome 26S subunit, non-ATPase 5(PSMD5)"
ENST00000374359,#N/A
ENST00000374375,#N/A
ENST00000375130,nuclear cap binding protein subunit 1(NCBP1)
ENST00000375188,#N/A
ENST00000375325,#N/A
ENST00000376267,#N/A
ENST00000376271,#N/A
ENST00000376523,#N/A
ENST00000376535,#N/A
ENST00000376775,#N/A
ENST00000376987,#N/A
ENST00000377171,olfactory receptor family 2 subfamily J member 1(OR2J1)
ENST00000377236,SLAIN motif family member 1(SLAIN1)
ENST00000377296,#N/A
ENST00000377469,#N/A
ENST00000377561,contactin associated protein family member 3B(CNTNAP3B)
ENST00000377652,#N/A
ENST00000377803,H4 clustered histone 3(H4C3)
ENST00000378108,#N/A
ENST00000378252,#N/A
ENST00000378368,#N/A
ENST00000378904,LysM domain containing 4(LYSMD4)
ENST00000378925,#N/A
ENST00000378936,#N/A
ENST00000378941,glycerol kinase(GK)
ENST00000379421,#N/A
ENST00000379435,T cell receptor beta variable 20/OR9-2 (non-functional)(TRBV20OR9-2)
ENST00000379526,#N/A
ENST00000379640,#N/A
ENST00000379816,#N/A
ENST00000380106,uncharacterized LOC497048(KU-MEL-3)
ENST00000380888,#N/A
ENST00000381078,#N/A
ENST00000381217,#N/A
ENST00000381466,#N/A
ENST00000381475,#N/A
ENST00000381596,#N/A
ENST00000381783,#N/A
ENST00000381784,#N/A
ENST00000382007,#N/A
ENST00000382066,#N/A
ENST00000382086,#N/A
ENST00000382320,tetratricopeptide repeat domain 6(TTC6)
ENST00000382488,#N/A
ENST00000382641,#N/A
ENST00000382965,#N/A
ENST00000383417,lymphocyte antigen 6 family member G6E(LY6G6E)
ENST00000383418,lymphocyte antigen 6 family member G6E(LY6G6E)
ENST00000383686,#N/A
ENST00000390237,immunoglobulin kappa constant(IGKC)
ENST00000390243,immunoglobulin kappa variable 4-1(IGKV4-1)
ENST00000390244,immunoglobulin kappa variable 5-2(IGKV5-2)
ENST00000390247,immunoglobulin kappa variable 3-7 (non-functional)(IGKV3-7)
ENST00000390252,immunoglobulin kappa variable 3-15(IGKV3-15)
ENST00000390256,immunoglobulin kappa variable 6-21 (non-functional)(IGKV6-21)
ENST00000390265,immunoglobulin kappa variable 1D-33(IGKV1D-33)
ENST00000390268,immunoglobulin kappa variable 2D-26(IGKV2D-26)
ENST00000390271,immunoglobulin kappa variable 6D-41 (non-functional)(IGKV6D-41)
ENST00000390278,immunoglobulin kappa variable 1D-42 (non-functional)(IGKV1D-42)
ENST00000390282,immunoglobulin lambda variable 4-69(IGLV4-69)
ENST00000390283,immunoglobulin lambda variable 8-61(IGLV8-61)
ENST00000390284,immunoglobulin lambda variable 4-60(IGLV4-60)
ENST00000390285,immunoglobulin lambda variable 6-57(IGLV6-57)
ENST00000390286,immunoglobulin lambda variable 11-55 (non-functional)(IGLV11-55)
ENST00000390287,immunoglobulin lambda variable 10-54(IGLV10-54)
ENST00000390291,immunoglobulin lambda variable 1-50 (non-functional)(IGLV1-50)
ENST00000390293,immunoglobulin lambda variable 5-48 (non-functional)(IGLV5-48)
ENST00000390294,immunoglobulin lambda variable 1-47(IGLV1-47)
ENST00000390295,immunoglobulin lambda variable 7-46(IGLV7-46)
ENST00000390296,immunoglobulin lambda variable 5-45(IGLV5-45)
ENST00000390297,immunoglobulin lambda variable 1-44(IGLV1-44)
ENST00000390298,immunoglobulin lambda variable 7-43(IGLV7-43)
ENST00000390300,immunoglobulin lambda variable 5-37(IGLV5-37)
ENST00000390301,immunoglobulin lambda variable 1-36(IGLV1-36)
ENST00000390303,immunoglobulin lambda variable 3-32 (non-functional)(IGLV3-32)
ENST00000390304,immunoglobulin lambda variable 3-27(IGLV3-27)
ENST00000390305,immunoglobulin lambda variable 3-25(IGLV3-25)
ENST00000390307,immunoglobulin lambda variable 3-22(IGLV3-22)
ENST00000390312,immunoglobulin lambda variable 2-14(IGLV2-14)
ENST00000390313,immunoglobulin lambda variable 3-12(IGLV3-12)
ENST00000390315,immunoglobulin lambda variable 3-10(IGLV3-10)
ENST00000390316,immunoglobulin lambda variable 3-9(IGLV3-9)
ENST00000390317,#N/A
ENST00000390318,immunoglobulin lambda variable 4-3(IGLV4-3)
ENST00000390319,immunoglobulin lambda variable 3-1(IGLV3-1)
ENST00000390323,immunoglobulin lambda constant 2(IGLC2)
ENST00000390340,T cell receptor gamma variable 11 (non-functional)(TRGV11)
ENST00000390341,T cell receptor gamma variable 10 (non-functional)(TRGV10)
ENST00000390343,T cell receptor gamma variable 8(TRGV8)
ENST00000390344,T cell receptor gamma variable 5(TRGV5)
ENST00000390345,T cell receptor gamma variable 4(TRGV4)
ENST00000390346,T cell receptor gamma variable 3(TRGV3)
ENST00000390348,T cell receptor gamma variable 1 (non-functional)(TRGV1)
ENST00000390353,T cell receptor beta variable 6-1(TRBV6-1)
ENST00000390357,T cell receptor beta variable 4-1(TRBV4-1)
ENST00000390359,#N/A
ENST00000390360,T cell receptor beta variable 6-4(TRBV6-4)
ENST00000390361,T cell receptor beta variable 7-3(TRBV7-3)
ENST00000390362,T cell receptor beta variable 5-3 (non-functional)(TRBV5-3)
ENST00000390363,T cell receptor beta variable 9(TRBV9)
ENST00000390364,T cell receptor beta variable 10-1(TRBV10-1)
ENST00000390367,T cell receptor beta variable 11-1(TRBV11-1)
ENST00000390368,T cell receptor beta variable 6-5(TRBV6-5)
ENST00000390369,T cell receptor beta variable 7-4(TRBV7-4)
ENST00000390371,T cell receptor beta variable 6-6(TRBV6-6)
ENST00000390372,T cell receptor beta variable 5-5(TRBV5-5)
ENST00000390373,T cell receptor beta variable 6-7 (non-functional)(TRBV6-7)
ENST00000390375,T cell receptor beta variable 5-6(TRBV5-6)
ENST00000390376,T cell receptor beta variable 6-8(TRBV6-8)
ENST00000390377,T cell receptor beta variable 7-7(TRBV7-7)
ENST00000390378,T cell receptor beta variable 5-7 (non-functional)(TRBV5-7)
ENST00000390379,#N/A
ENST00000390381,T cell receptor beta variable 5-1(TRBV5-1)
ENST00000390387,T cell receptor beta variable 3-1(TRBV3-1)
ENST00000390389,#N/A
ENST00000390392,T cell receptor beta variable 4-2(TRBV4-2)
ENST00000390393,T cell receptor beta variable 19(TRBV19)
ENST00000390394,T cell receptor beta variable 20-1(TRBV20-1)
ENST00000390396,T cell receptor beta variable 23-1 (non-functional)(TRBV23-1)
ENST00000390397,T cell receptor beta variable 24-1(TRBV24-1)
ENST00000390398,T cell receptor beta variable 25-1(TRBV25-1)
ENST00000390399,T cell receptor beta variable 27(TRBV27)
ENST00000390400,T cell receptor beta variable 28(TRBV28)
ENST00000390423,T cell receptor alpha variable 1-2(TRAV1-2)
ENST00000390424,T cell receptor alpha variable 2(TRAV2)
ENST00000390425,T cell receptor alpha variable 3(TRAV3)
ENST00000390426,T cell receptor alpha variable 4(TRAV4)
ENST00000390427,T cell receptor alpha variable 5(TRAV5)
ENST00000390428,T cell receptor alpha variable 6(TRAV6)
ENST00000390429,T cell receptor alpha variable 7(TRAV7)
ENST00000390430,T cell receptor alpha variable 8-1(TRAV8-1)
ENST00000390431,T cell receptor alpha variable 9-1(TRAV9-1)
ENST00000390432,T cell receptor alpha variable 10(TRAV10)
ENST00000390433,T cell receptor alpha variable 12-1(TRAV12-1)
ENST00000390434,T cell receptor alpha variable 8-2(TRAV8-2)
ENST00000390435,T cell receptor alpha variable 8-3(TRAV8-3)
ENST00000390436,T cell receptor alpha variable 13-1(TRAV13-1)
ENST00000390437,T cell receptor alpha variable 12-2(TRAV12-2)
ENST00000390439,T cell receptor alpha variable 13-2(TRAV13-2)
ENST00000390440,T cell receptor alpha variable 14/delta variable 4(TRAV14DV4)
ENST00000390441,T cell receptor alpha variable 9-2(TRAV9-2)
ENST00000390442,T cell receptor alpha variable 12-3(TRAV12-3)
ENST00000390443,T cell receptor alpha variable 8-6(TRAV8-6)
ENST00000390444,T cell receptor alpha variable 16(TRAV16)
ENST00000390445,T cell receptor alpha variable 17(TRAV17)
ENST00000390446,T cell receptor alpha variable 18(TRAV18)
ENST00000390447,T cell receptor alpha variable 19(TRAV19)
ENST00000390448,T cell receptor alpha variable 20(TRAV20)
ENST00000390449,T cell receptor alpha variable 21(TRAV21)
ENST00000390450,T cell receptor alpha variable 22(TRAV22)
ENST00000390451,T cell receptor alpha variable 23/delta variable 6(TRAV23DV6)
ENST00000390452,T cell receptor delta variable 1(TRDV1)
ENST00000390453,T cell receptor alpha variable 24(TRAV24)
ENST00000390454,T cell receptor alpha variable 25(TRAV25)
ENST00000390455,T cell receptor alpha variable 26-1(TRAV26-1)
ENST00000390456,T cell receptor alpha variable 8-7 (pseudogene)(TRAV8-7)
ENST00000390457,T cell receptor alpha variable 27(TRAV27)
ENST00000390458,T cell receptor alpha variable 29/delta variable 5(TRAV29DV5)
ENST00000390460,T cell receptor alpha variable 26-2(TRAV26-2)
ENST00000390461,T cell receptor alpha variable 34(TRAV34)
ENST00000390462,#N/A
ENST00000390463,T cell receptor alpha variable 36/delta variable 7(TRAV36DV7)
ENST00000390465,T cell receptor alpha variable 38-2/delta variable 8(TRAV38-2DV8)
ENST00000390466,T cell receptor alpha variable 39(TRAV39)
ENST00000390467,T cell receptor alpha variable 40(TRAV40)
ENST00000390468,T cell receptor alpha variable 41(TRAV41)
ENST00000390469,T cell receptor delta variable 2(TRDV2)
ENST00000390477,T cell receptor delta constant(TRDC)
ENST00000390539,immunoglobulin heavy constant alpha 2 (A2m marker)(IGHA2)
ENST00000390547,immunoglobulin heavy constant alpha 1(IGHA1)
ENST00000390549,immunoglobulin heavy constant gamma 1 (G1m marker)(IGHG1)
ENST00000390551,immunoglobulin heavy constant gamma 3 (G3m marker)(IGHG3)
ENST00000390556,immunoglobulin heavy constant delta(IGHD)
ENST00000390559,immunoglobulin heavy constant mu(IGHM)
ENST00000390593,immunoglobulin heavy variable 6-1(IGHV6-1)
ENST00000390594,immunoglobulin heavy variable 1/OR15-1 (non-functional)(IGHV1OR15-1)
ENST00000390595,immunoglobulin heavy variable 1-3(IGHV1-3)
ENST00000390597,immunoglobulin heavy variable 2-5(IGHV2-5)
ENST00000390600,#N/A
ENST00000390603,immunoglobulin heavy variable 3-15(IGHV3-15)
ENST00000390604,immunoglobulin heavy variable 3-16 (non-functional)(IGHV3-16)
ENST00000390605,immunoglobulin heavy variable 1-18(IGHV1-18)
ENST00000390606,immunoglobulin heavy variable 3-20(IGHV3-20)
ENST00000390610,immunoglobulin heavy variable 1-24(IGHV1-24)
ENST00000390611,immunoglobulin heavy variable 2-26(IGHV2-26)
ENST00000390613,#N/A
ENST00000390615,immunoglobulin heavy variable 3-33(IGHV3-33)
ENST00000390617,immunoglobulin heavy variable 3-35 (non-functional)(IGHV3-35)
ENST00000390621,immunoglobulin heavy variable 1-45(IGHV1-45)
ENST00000390622,immunoglobulin heavy variable 1-46(IGHV1-46)
ENST00000390624,immunoglobulin heavy variable 3-48(IGHV3-48)
ENST00000390625,immunoglobulin heavy variable 3-49(IGHV3-49)
ENST00000390626,immunoglobulin heavy variable 5-51(IGHV5-51)
ENST00000390628,immunoglobulin heavy variable 1-58(IGHV1-58)
ENST00000390629,immunoglobulin heavy variable 4-59(IGHV4-59)
ENST00000390632,immunoglobulin heavy variable 3-66(IGHV3-66)
ENST00000390633,immunoglobulin heavy variable 1-69(IGHV1-69)
ENST00000390634,immunoglobulin heavy variable 2-70D(IGHV2-70D)
ENST00000390636,immunoglobulin heavy variable 3-73(IGHV3-73)
ENST00000390639,immunoglobulin heavy variable 7-81 (non-functional)(IGHV7-81)
ENST00000391369,#N/A
ENST00000391394,#N/A
ENST00000391405,#N/A
ENST00000391437,#N/A
ENST00000391457,#N/A
ENST00000391480,#N/A
ENST00000391545,#N/A
ENST00000391679,#N/A
ENST00000392164,#N/A
ENST00000393237,#N/A
ENST00000393499,#N/A
ENST00000393544,#N/A
ENST00000394874,protein kinase C epsilon(PRKCE)
ENST00000395215,#N/A
ENST00000395427,#N/A
ENST00000395449,#N/A
ENST00000395682,#N/A
ENST00000395979,ZFP64 zinc finger protein(ZFP64)
ENST00000396039,par-6 family cell polarity regulator beta(PARD6B)
ENST00000396245,#N/A
ENST00000396468,#N/A
ENST00000396653,adaptor related protein complex 1 subunit sigma 3(AP1S3)
ENST00000396771,#N/A
ENST00000396831,#N/A
ENST00000396843,#N/A
ENST00000397013,nucleoporin 98 and 96 precursor(NUP98)
ENST00000397024,MCF.2 cell line derived transforming sequence like(MCF2L)
ENST00000397036,MCF.2 cell line derived transforming sequence like(MCF2L)
ENST00000397064,CEBPZ opposite strand(CEBPZOS)
ENST00000397094,#N/A
ENST00000397438,#N/A
ENST00000397466,#N/A
ENST00000397526,#N/A
ENST00000397557,#N/A
ENST00000397891,#N/A
ENST00000397935,#N/A
ENST00000398049,#N/A
ENST00000398067,#N/A
ENST00000398113,#N/A
ENST00000398173,#N/A
ENST00000398270,#N/A
ENST00000398553,#N/A
ENST00000398554,#N/A
ENST00000398605,#N/A
ENST00000398669,#N/A
ENST00000398707,KRAB box domain containing 5(KRBOX5)
ENST00000398711,#N/A
ENST00000398832,uncharacterized LOC105371730(LOC105371730)
ENST00000398877,#N/A
ENST00000398953,#N/A
ENST00000398992,#N/A
ENST00000399003,#N/A
ENST00000399090,#N/A
ENST00000399125,#N/A
ENST00000399246,solute carrier family 4 member 1 (Diego blood group)(SLC4A1)
ENST00000399306,"cystinosin, lysosomal cystine transporter(CTNS)"
ENST00000399342,#N/A
ENST00000399539,#N/A
ENST00000399670,"major histocompatibility complex, class II, DQ beta 1(HLA-DQB1)"
ENST00000399801,#N/A
ENST00000399870,#N/A
ENST00000399906,#N/A
ENST00000400023,MIR3667 host gene(MIR3667HG)
ENST00000400189,#N/A
ENST00000400332,#N/A
ENST00000400371,#N/A
ENST00000400432,#N/A
ENST00000400562,#N/A
ENST00000400768,#N/A
ENST00000400985,#N/A
ENST00000401723,TOG array regulator of axonemal microtubules 2(TOGARAM2)
ENST00000402091,regulator of microtubule dynamics 2(RMDN2)
ENST00000402278,#N/A
ENST00000402625,STEAP2 metalloreductase(STEAP2)
ENST00000403120,#N/A
ENST00000403389,oncostatin M(OSM)
ENST00000403628,#N/A
ENST00000404197,#N/A
ENST00000406053,GPR75-ASB3 readthrough(GPR75-ASB3)
ENST00000406939,#N/A
ENST00000407263,tetraspanin 9(TSPAN9)
ENST00000407815,#N/A
ENST00000408998,WD repeat domain 33(WDR33)
ENST00000409145,mitochondrial ribosomal protein L30(MRPL30)
ENST00000409162,#N/A
ENST00000409310,plasminogen like B2(PLGLB2)
ENST00000409375,adaptor related protein complex 1 subunit sigma 3(AP1S3)
ENST00000409481,cation channel sperm associated 2(CATSPER2)
ENST00000409490,#N/A
ENST00000409513,#N/A
ENST00000409550,catenin alpha 2(CTNNA2)
ENST00000409554,epididymal peptidase inhibitor(EPPIN)
ENST00000409570,secernin 1(SCRN1)
ENST00000409634,"fidgetin, microtubule severing factor(FIGN)"
ENST00000409758,#N/A
ENST00000409826,transmembrane protein 37(TMEM37)
ENST00000409910,#N/A
ENST00000409922,#N/A
ENST00000409964,#N/A
ENST00000410010,"eva-1 homolog A, regulator of programmed cell death(EVA1A)"
ENST00000410117,WAS/WASL interacting protein family member 1(WIPF1)
ENST00000411509,#N/A
ENST00000411514,#N/A
ENST00000411845,"neugrin, neurite outgrowth associated(NGRN)"
ENST00000412149,#N/A
ENST00000412376,#N/A
ENST00000412410,#N/A
ENST00000412492,#N/A
ENST00000412714,#N/A
ENST00000412872,#N/A
ENST00000413042,#N/A
ENST00000413112,#N/A
ENST00000413151,#N/A
ENST00000413220,#N/A
ENST00000413599,#N/A
ENST00000413645,#N/A
ENST00000413986,#N/A
ENST00000414341,#N/A
ENST00000414453,#N/A
ENST00000414482,#N/A
ENST00000414603,#N/A
ENST00000415054,#N/A
ENST00000415226,#N/A
ENST00000415245,#N/A
ENST00000415310,#N/A
ENST00000415338,#N/A
ENST00000415386,long intergenic non-protein coding RNA 1783(LINC01783)
ENST00000415479,long intergenic non-protein coding RNA 1614(LINC01614)
ENST00000415530,#N/A
ENST00000415836,uncharacterized LOC105375297(LOC105375297)
ENST00000416014,#N/A
ENST00000416061,#N/A
ENST00000416842,#N/A
ENST00000417039,#N/A
ENST00000417112,#N/A
ENST00000417143,#N/A
ENST00000417213,#N/A
ENST00000417485,#N/A
ENST00000417510,#N/A
ENST00000417671,#N/A
ENST00000417705,long intergenic non-protein coding RNA 2593(LINC02593)
ENST00000417977,T cell receptor beta variable 30(TRBV30)
ENST00000418025,#N/A
ENST00000418165,#N/A
ENST00000418428,uncharacterized LOC102725191(LOC102725191)
ENST00000418546,#N/A
ENST00000418567,#N/A
ENST00000418620,#N/A
ENST00000418758,#N/A
ENST00000418834,#N/A
ENST00000419039,#N/A
ENST00000419115,#N/A
ENST00000419160,#N/A
ENST00000419347,#N/A
ENST00000419481,#N/A
ENST00000419695,#N/A
ENST00000419825,lipid droplet associated hydrolase(LDAH)
ENST00000420356,#N/A
ENST00000420395,#N/A
ENST00000420498,#N/A
ENST00000420509,#N/A
ENST00000420851,#N/A
ENST00000421045,#N/A
ENST00000421257,#N/A
ENST00000421616,#N/A
ENST00000421871,#N/A
ENST00000421976,#N/A
ENST00000422143,T cell receptor beta variable 29-1(TRBV29-1)
ENST00000422194,#N/A
ENST00000422305,#N/A
ENST00000422353,#N/A
ENST00000422553,#N/A
ENST00000422874,#N/A
ENST00000423408,long intergenic non-protein coding RNA 2777(LINC02777)
ENST00000423781,#N/A
ENST00000423838,#N/A
ENST00000424415,#N/A
ENST00000424453,uncharacterized LOC102725191(LOC102725191)
ENST00000424493,#N/A
ENST00000424630,#N/A
ENST00000424825,#N/A
ENST00000424895,long intergenic non-protein coding RNA 1376(LINC01376)
ENST00000424969,immunoglobulin heavy variable 3-74(IGHV3-74)
ENST00000425104,#N/A
ENST00000425181,immunoglobulin heavy variable 3/OR16-10 (non-functional)(IGHV3OR16-10)
ENST00000425352,long intergenic non-protein coding RNA 1739(LINC01739)
ENST00000425471,#N/A
ENST00000425802,#N/A
ENST00000426193,#N/A
ENST00000426318,T cell receptor beta variable 10-2(TRBV10-2)
ENST00000426402,T cell receptor gamma variable 2(TRGV2)
ENST00000426446,#N/A
ENST00000426528,#N/A
ENST00000427050,#N/A
ENST00000427109,#N/A
ENST00000427168,#N/A
ENST00000427415,#N/A
ENST00000427543,#N/A
ENST00000427632,immunoglobulin lambda variable 9-49(IGLV9-49)
ENST00000427872,#N/A
ENST00000428118,#N/A
ENST00000428188,#N/A
ENST00000428276,DLEU1 antisense RNA 1(DLEU1-AS1)
ENST00000428487,#N/A
ENST00000428928,#N/A
ENST00000429214,#N/A
ENST00000429567,#N/A
ENST00000429578,#N/A
ENST00000429932,#N/A
ENST00000430247,#N/A
ENST00000430548,#N/A
ENST00000430626,#N/A
ENST00000430756,"DXZ4 associated non-coding transcript 2, distal(DANT2)"
ENST00000430766,#N/A
ENST00000430842,#N/A
ENST00000431031,#N/A
ENST00000431057,#N/A
ENST00000431083,#N/A
ENST00000431385,#N/A
ENST00000431411,#N/A
ENST00000431767,#N/A
ENST00000431770,#N/A
ENST00000432045,#N/A
ENST00000432154,long intergenic non-protein coding RNA 2028(LINC02028)
ENST00000432743,#N/A
ENST00000432823,#N/A
ENST00000432922,#N/A
ENST00000432978,#N/A
ENST00000433072,immunoglobulin heavy variable 3-72(IGHV3-72)
ENST00000433238,#N/A
ENST00000433310,#N/A
ENST00000433770,#N/A
ENST00000433966,#N/A
ENST00000434150,#N/A
ENST00000434244,#N/A
ENST00000434311,#N/A
ENST00000434321,#N/A
ENST00000434611,#N/A
ENST00000435033,#N/A
ENST00000435044,#N/A
ENST00000435388,#N/A
ENST00000435466,#N/A
ENST00000435485,#N/A
ENST00000435643,#N/A
ENST00000435692,#N/A
ENST00000435913,#N/A
ENST00000435984,#N/A
ENST00000436258,#N/A
ENST00000436295,#N/A
ENST00000436500,long intergenic non-protein coding RNA 2655(LINC02655)
ENST00000436710,#N/A
ENST00000436804,long intergenic non-protein coding RNA 2829(LINC02829)
ENST00000436808,#N/A
ENST00000437095,#N/A
ENST00000437157,#N/A
ENST00000437648,#N/A
ENST00000437696,#N/A
ENST00000437881,#N/A
ENST00000438107,#N/A
ENST00000438148,long intergenic non-protein coding RNA 1918(LINC01918)
ENST00000438867,#N/A
ENST00000439198,#N/A
ENST00000439423,#N/A
ENST00000439431,#N/A
ENST00000439454,long intergenic non-protein coding RNA 376(LINC00376)
ENST00000439559,#N/A
ENST00000439955,#N/A
ENST00000439964,#N/A
ENST00000440246,#N/A
ENST00000440326,#N/A
ENST00000440582,keratin associated protein 4-16(KRTAP4-16)
ENST00000440802,#N/A
ENST00000441159,TRPM8 channel associated factor 2(TCAF2)
ENST00000441217,#N/A
ENST00000441360,#N/A
ENST00000441776,long intergenic non-protein coding RNA 2650(LINC02650)
ENST00000441813,#N/A
ENST00000441947,#N/A
ENST00000442072,#N/A
ENST00000442233,#N/A
ENST00000442269,#N/A
ENST00000442316,#N/A
ENST00000442860,#N/A
ENST00000442973,#N/A
ENST00000442991,#N/A
ENST00000443467,#N/A
ENST00000443479,long intergenic non-protein coding RNA 1683(LINC01683)
ENST00000443854,#N/A
ENST00000443922,#N/A
ENST00000443932,#N/A
ENST00000443965,#N/A
ENST00000444001,#N/A
ENST00000444002,#N/A
ENST00000444043,#N/A
ENST00000444586,#N/A
ENST00000444694,#N/A
ENST00000444775,T cell receptor gamma variable 9(TRGV9)
ENST00000444792,#N/A
ENST00000444919,#N/A
ENST00000444947,#N/A
ENST00000445350,#N/A
ENST00000445515,#N/A
ENST00000445627,#N/A
ENST00000445707,#N/A
ENST00000445752,#N/A
ENST00000445770,#N/A
ENST00000445782,#N/A
ENST00000446002,#N/A
ENST00000446184,#N/A
ENST00000446318,#N/A
ENST00000446336,#N/A
ENST00000446495,#N/A
ENST00000446589,long intergenic non-protein coding RNA 2667(LINC02667)
ENST00000446592,CCDC26 long non-coding RNA(CCDC26)
ENST00000446693,#N/A
ENST00000446840,long intergenic non-protein coding RNA 3007(LINC03007)
ENST00000446887,#N/A
ENST00000447262,long intergenic non-protein coding RNA 1162(LINC01162)
ENST00000447430,#N/A
ENST00000447535,endogenous retrovirus group 48 member 1(ERVH48-1)
ENST00000447610,#N/A
ENST00000447883,#N/A
ENST00000447898,#N/A
ENST00000448056,#N/A
ENST00000448948,#N/A
ENST00000449424,#N/A
ENST00000449462,#N/A
ENST00000449463,#N/A
ENST00000449730,#N/A
ENST00000450063,#N/A
ENST00000450435,#N/A
ENST00000450445,BNC2 antisense RNA 1(BNC2-AS1)
ENST00000450456,gap junction protein epsilon 1(GJE1)
ENST00000450495,#N/A
ENST00000450531,#N/A
ENST00000450850,#N/A
ENST00000450891,#N/A
ENST00000451103,uncharacterized LOC101929022(LOC101929022)
ENST00000451123,#N/A
ENST00000451216,#N/A
ENST00000451368,SNX10 antisense RNA 1(SNX10-AS1)
ENST00000451415,#N/A
ENST00000451828,#N/A
ENST00000451884,#N/A
ENST00000451910,#N/A
ENST00000451929,#N/A
ENST00000452440,#N/A
ENST00000452501,long intergenic non-protein coding RNA 2601(LINC02601)
ENST00000452701,#N/A
ENST00000452736,#N/A
ENST00000452919,CHL1 antisense RNA 2(CHL1-AS2)
ENST00000453166,immunoglobulin kappa variable 2D-28(IGKV2D-28)
ENST00000453179,#N/A
ENST00000453554,#N/A
ENST00000453636,#N/A
ENST00000453673,immunoglobulin kappa variable 1/OR2-108 (non-functional)(IGKV1OR2-108)
ENST00000453784,long intergenic non-protein coding RNA 1684(LINC01684)
ENST00000454172,#N/A
ENST00000454183,#N/A
ENST00000454185,#N/A
ENST00000454421,immunoglobulin heavy variable 3-64(IGHV3-64)
ENST00000454561,T cell receptor beta variable 5-4(TRBV5-4)
ENST00000454660,#N/A
ENST00000454671,#N/A
ENST00000455068,#N/A
ENST00000455382,T cell receptor beta variable 2(TRBV2)
ENST00000455529,#N/A
ENST00000455554,long intergenic non-protein coding RNA 2540(LINC02540)
ENST00000455974,#N/A
ENST00000455991,#N/A
ENST00000456255,#N/A
ENST00000456270,#N/A
ENST00000456414,#N/A
ENST00000456627,long intergenic non-protein coding RNA 355(LINC00355)
ENST00000456795,#N/A
ENST00000456816,#N/A
ENST00000457033,uncharacterized LOC102724434(LOC102724434)
ENST00000457108,#N/A
ENST00000457218,#N/A
ENST00000457669,#N/A
ENST00000457671,#N/A
ENST00000457892,#N/A
ENST00000458386,#N/A
ENST00000458577,uncharacterized LOC105373343(LOC105373343)
ENST00000458667,#N/A
ENST00000458685,nitric oxide synthase 2 pseudogene 3(NOS2P3)
ENST00000459691,#N/A
ENST00000459979,#N/A
ENST00000460965,#N/A
ENST00000461824,#N/A
ENST00000462333,#N/A
ENST00000462693,immunoglobulin kappa variable 2D-24 (non-functional)(IGKV2D-24)
ENST00000462891,ELMO domain containing 3(ELMOD3)
ENST00000462931,#N/A
ENST00000463107,#N/A
ENST00000463391,#N/A
ENST00000463534,#N/A
ENST00000464277,RNA polymerase II subunit M(POLR2M)
